Submission ID;À quelle fréquence achetez-vous de nouveaux vêtements ?;Combien de temps passez-vous en moyenne chaque matin à choisir votre tenue ?;Quelle importance accordez-vous à l'impact environnemental de vos choix vestimentaires ?;Avez-vous déjà utilisé une application de gestion de garde-robe virtuelle ?;Sur une échelle de 1 à 5, à quel point êtes-vous intéressé(e) par une application qui suggère des tenues basées sur votre garde-robe existante ?;Utilisez-vous des plateformes de revente de vêtements comme Vinted ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? ;Quel est votre plus grand défi dans la gestion quotidienne de votre garde-robe ?;Parmi ces fonctionnalités innovantes, laquelle vous intéresserait le plus ?;Si une application pouvait vous aider à réduire vos achats de vêtements, quelle fonctionnalité serait la plus utile ?;Dans quelle mesure seriez-vous prêt(e) à partager des informations sur vos habitudes vestimentaires pour obtenir des recommandations personnalisées plus précises ?;Quelle fonctionnalité unique aimeriez-vous voir dans une application de gestion de garde-robe qui n'existe pas encore sur le marché ?;Seriez-vous prêt(e) à payer pour une application offrant ces fonctionnalités ?;Quelle est votre tranche d'âge ?;Quel est votre genre ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? (Sélectionnez jusqu'à 3 réponses)
53;Chaque saison;10-20 minutes;Peu important;Non;1;Oui, occasionnellement;Suggestions de tenues personnalisées;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un algorithme qui propose une couleur du jour;Oui, un abonnement mensuel;18-24 ans;Homme;Numérisation intelligente des vêtements
54;Chaque semaine;Moins de 5 minutes;Peu important;Non;3;Oui, régulièrement;Numérisation intelligente des vêtements, Intégration avec des plateformes de revente, Suggestions de tenues personnalisées;Manque de temps pour choisir une tenue;Création de capsules wardrobe saisonnières;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une suggestion de rangement pour optimiser mon armoire;Non, je ne paierais pas pour ce type d'application;45-54 ans;Homme;Analyse de l’impact environnemental des vêtements, Suggestions de tenues personnalisées
55;Une fois par an;10-20 minutes;Assez important;Oui;2;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une vision 3d de ma garde robe;Oui, un abonnement mensuel;18-24 ans;Femme;Intégration avec des plateformes de revente
56;Chaque semaine;5-10 minutes;Pas important du tout;Non;5;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un mode discret pour trier les habits sans bruit;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés, Numérisation intelligente des vêtements
57;Chaque mois;Moins de 5 minutes;Assez important;Non;2;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Création de capsules wardrobe saisonnières;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une alerte automatique pour les vetements portés trop souvent;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
58;Chaque semaine;Moins de 5 minutes;Très important;Oui;4;Oui, régulièrement;Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Numérisation intelligente des vêtements, Conseils de style personnalisés, Suggestions de tenues personnalisées
59;Chaque mois;10-20 minutes;Assez important;Non;5;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées;Manque de temps pour choisir une tenue;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un indicateur de qualité perçue par les autres utilisateurs;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières, Intégration avec des plateformes de revente
60;Chaque saison;Moins de 5 minutes;Assez important;Oui;5;Non, et je ne suis pas intéressé(e);Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une capsule mensuelle personnalisée;Non, je préfère une version gratuite avec des fonctionnalités limitées;45-54 ans;Homme;Conseils de style personnalisés, Suggestions de tenues personnalisées
61;Rarement;Moins de 5 minutes;Pas important du tout;Non;4;Oui, occasionnellement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Calcul du coût par utilisation de chaque vêtement;Je préfère limiter les informations partagées;Une integration pinterest automatique;Oui, un achat unique;45-54 ans;Homme;Analyse de l’impact environnemental des vêtements, Planification de capsules wardrobe saisonnières
62;Chaque semaine;5-10 minutes;Assez important;Non;3;Oui, occasionnellement;Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un calculateur de cout par usage avec historique;Non, je ne paierais pas pour ce type d'application;18-24 ans;Préfère ne pas répondre;Numérisation intelligente des vêtements, Intégration avec des plateformes de revente
63;Chaque saison;Moins de 5 minutes;Assez important;Oui;3;Oui, régulièrement;Suggestions de tenues personnalisées, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je ne souhaite pas du tout partager mes données personnelles;Une zone memo pour lister mes envies mode;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
64;Chaque mois;10-20 minutes;Assez important;Non;1;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Conseils de style personnalisés, Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un mode urgence tenue pour jours de rush;Non, je préfère une version gratuite avec des fonctionnalités limitées;45-54 ans;Non-binaire;Intégration avec des plateformes de revente
65;Chaque semaine;5-10 minutes;Assez important;Non;3;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Conseils de style personnalisés;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un calendrier des tendances à venir;Oui, un achat unique;18-24 ans;Homme;Conseils de style personnalisés, Planification de capsules wardrobe saisonnières, Analyse de l’impact environnemental des vêtements
66;Chaque mois;Plus de 20 minutes;Pas important du tout;Non;3;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières;Achats impulsifs et non coordonnés;Suggestions de tenues basées sur votre agenda et la météo;Suggestions de nouvelles combinaisons avec les vêtements existants;Je ne souhaite pas du tout partager mes données personnelles;;Oui, un achat unique;18-24 ans;Femme;Planification de capsules wardrobe saisonnières
67;Chaque saison;5-10 minutes;Peu important;Non;5;Oui, occasionnellement;Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je ne souhaite pas du tout partager mes données personnelles;Un tracker de look preferé;Oui, un achat unique;18-24 ans;Préfère ne pas répondre;Suggestions de tenues personnalisées
68;Chaque saison;10-20 minutes;Peu important;Non;3;Oui, régulièrement;Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un système de notes personnelles par tenue;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Conseils de style personnalisés, Planification de capsules wardrobe saisonnières
69;Chaque semaine;Moins de 5 minutes;Pas important du tout;Oui;3;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Suggestions de tenues basées sur votre agenda et la météo;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un moteur de recherche par mot clé dans mon dressing;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Conseils de style personnalisés, Intégration avec des plateformes de revente
70;Chaque saison;5-10 minutes;Pas important du tout;Non;3;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés;Manque de temps pour choisir une tenue;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je ne souhaite pas du tout partager mes données personnelles;Une fonction pour synchroniser avec les soldes;Oui, un achat unique;18-24 ans;Homme;Conseils de style personnalisés
71;Chaque saison;Moins de 5 minutes;Très important;Oui;5;Oui, régulièrement;Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Oui, un abonnement mensuel;18-24 ans;Homme;Intégration avec des plateformes de revente, Planification de capsules wardrobe saisonnières
72;Chaque saison;Moins de 5 minutes;Peu important;Oui;3;Non, mais je serais intéressé(e);Conseils de style personnalisés;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un resumé mensuel de mes habitudes vestimentaires;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Suggestions de tenues personnalisées
73;Chaque saison;5-10 minutes;Assez important;Non;3;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Difficulté à combiner les vêtements;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je préfère limiter les informations partagées;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Analyse de l’impact environnemental des vêtements
74;Rarement;5-10 minutes;Peu important;Non;5;Non, et je ne suis pas intéressé(e);Suggestions de tenues personnalisées;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un abonnement mensuel;18-24 ans;Femme;Planification de capsules wardrobe saisonnières, Conseils de style personnalisés, Intégration avec des plateformes de revente
75;Chaque saison;Moins de 5 minutes;Assez important;Oui;3;Oui, régulièrement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une messagerie anonyme pour demander des avis;Oui, un achat unique;18-24 ans;Homme;Planification de capsules wardrobe saisonnières
76;Une fois par an;5-10 minutes;Assez important;Oui;3;Oui, régulièrement;Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Calcul du coût par utilisation de chaque vêtement;Je ne souhaite pas du tout partager mes données personnelles;;Oui, un achat unique;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements, Conseils de style personnalisés
77;Chaque saison;Moins de 5 minutes;Peu important;Non;5;Non, mais je serais intéressé(e);Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une alerte vetement abimé à remplacer;Oui, un abonnement mensuel;18-24 ans;Homme;Suggestions de tenues personnalisées, Analyse de l’impact environnemental des vêtements
78;Chaque semaine;5-10 minutes;Assez important;Non;3;Non, et je ne suis pas intéressé(e);Numérisation intelligente des vêtements, Suggestions de tenues personnalisées;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un abonnement mensuel;18-24 ans;Homme;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente
79;Chaque semaine;5-10 minutes;Pas important du tout;Non;3;Oui, occasionnellement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Conseils de style personnalisés;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une prediction de longevité de mes habits;Oui, un abonnement mensuel;18-24 ans;Homme;Intégration avec des plateformes de revente
80;Chaque saison;5-10 minutes;Peu important;Non;5;Oui, occasionnellement;Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Création de capsules wardrobe saisonnières;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une routine de lavage recommandée par article;Non, je préfère une version gratuite avec des fonctionnalités limitées;25-34 ans;Homme;Intégration avec des plateformes de revente, Planification de capsules wardrobe saisonnières
81;Chaque mois;Moins de 5 minutes;Peu important;Non;2;Oui, régulièrement;Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une galerie de selfies look pour historique;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Suggestions de tenues personnalisées
82;Une fois par an;Moins de 5 minutes;Très important;Oui;5;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Intégration avec des plateformes de revente;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un tableau de combinaisons jamais testées;Non, je ne paierais pas pour ce type d'application;18-24 ans;Non-binaire;Analyse de l’impact environnemental des vêtements, Conseils de style personnalisés, Suggestions de tenues personnalisées
83;Chaque saison;Moins de 5 minutes;Assez important;Non;2;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Manque de temps pour choisir une tenue;Conseils de style personnalisés par IA;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je ne souhaite pas du tout partager mes données personnelles;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Suggestions de tenues personnalisées, Analyse de l’impact environnemental des vêtements
84;Chaque semaine;Moins de 5 minutes;Assez important;Non;3;Oui, régulièrement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je ne souhaite pas du tout partager mes données personnelles;Un plugin qui check les tendances dans ma ville;Oui, un abonnement mensuel;18-24 ans;Homme;Conseils de style personnalisés
85;Chaque saison;Moins de 5 minutes;Peu important;Oui;5;Oui, occasionnellement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Suggestions de nouvelles combinaisons avec les vêtements existants;Je préfère limiter les informations partagées;Une suggestion daccessoires selon le look choisi;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Non-binaire;Intégration avec des plateformes de revente
86;Chaque saison;Moins de 5 minutes;Peu important;Non;5;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je préfère une version gratuite avec des fonctionnalités limitées;45-54 ans;Homme;Numérisation intelligente des vêtements, Analyse de l’impact environnemental des vêtements
87;Une fois par an;Moins de 5 minutes;Peu important;Non;2;Oui, occasionnellement;Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements, Intégration avec des plateformes de revente;Achats impulsifs et non coordonnés;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un bouton declencheur de nettoyage dressing;Oui, un abonnement mensuel;18-24 ans;Préfère ne pas répondre;Conseils de style personnalisés, Intégration avec des plateformes de revente
88;Rarement;5-10 minutes;Très important;Non;5;Oui, régulièrement;Suggestions de tenues personnalisées;Manque de temps pour choisir une tenue;Analyse de l'impact environnemental de chaque vêtement;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je ne souhaite pas du tout partager mes données personnelles;Une suggestion de look pro ou casual selon loccasion;Oui, un achat unique;18-24 ans;Homme;Conseils de style personnalisés
89;Chaque semaine;Moins de 5 minutes;Très important;Non;2;Non, mais je serais intéressé(e);Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une photo automatique prise a chaque tenue;Oui, un achat unique;18-24 ans;Non-binaire;Intégration avec des plateformes de revente, Conseils de style personnalisés
90;Chaque semaine;Moins de 5 minutes;Assez important;Non;5;Oui, régulièrement;Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une carte thermique de mes vetements les moins utilisés;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Intégration avec des plateformes de revente
91;Chaque mois;5-10 minutes;Assez important;Non;5;Oui, occasionnellement;Suggestions de tenues personnalisées;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;Calcul du coût par utilisation de chaque vêtement;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Conseils de style personnalisés
92;Chaque saison;Moins de 5 minutes;Assez important;Non;3;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un outil qui me dit ce quil manque pour un outfit complet;Oui, un abonnement mensuel;18-24 ans;Homme;Planification de capsules wardrobe saisonnières
93;Chaque mois;5-10 minutes;Assez important;Non;5;Non, et je ne suis pas intéressé(e);Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Préfère ne pas répondre;Intégration avec des plateformes de revente, Analyse de l’impact environnemental des vêtements, Conseils de style personnalisés
94;Une fois par an;Moins de 5 minutes;Peu important;Non;2;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un top 10 de mes vetements les plus polyvalents;Non, je ne paierais pas pour ce type d'application;18-24 ans;Non-binaire;Numérisation intelligente des vêtements
95;Chaque saison;10-20 minutes;Assez important;Oui;5;Non, et je ne suis pas intéressé(e);Conseils de style personnalisés, Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une interface pour assigner des tenues a des humeurs;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Intégration avec des plateformes de revente
96;Chaque semaine;Plus de 20 minutes;Peu important;Non;2;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Oui, un abonnement mensuel;18-24 ans;Homme;Analyse de l’impact environnemental des vêtements, Planification de capsules wardrobe saisonnières
97;Chaque saison;5-10 minutes;Peu important;Non;1;Oui, occasionnellement;Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Analyse de l'impact environnemental de chaque vêtement;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je ne souhaite pas du tout partager mes données personnelles;Une fonction sos vetement sale pour alertes de remplacement;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Intégration avec des plateformes de revente, Numérisation intelligente des vêtements
98;Chaque saison;Moins de 5 minutes;Très important;Non;3;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Création de capsules wardrobe saisonnières;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je ne souhaite pas du tout partager mes données personnelles;Une collection automatique de favoris selon likes;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Planification de capsules wardrobe saisonnières
99;Rarement;Moins de 5 minutes;Assez important;Oui;5;Oui, régulièrement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Conseils de style personnalisés;Difficulté à combiner les vêtements;Création de capsules wardrobe saisonnières;Calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Oui, un achat unique;55 ans et plus;Homme;Conseils de style personnalisés
100;Chaque saison;5-10 minutes;Peu important;Non;2;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Analyse de l'impact environnemental des vêtements;Achats impulsifs et non coordonnés;Analyse de l'impact environnemental de chaque vêtement;Calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un filtre de suggestions selon ma taille exacte;Oui, un abonnement mensuel;18-24 ans;Homme;Planification de capsules wardrobe saisonnières
101;Chaque semaine;Moins de 5 minutes;Peu important;Non;4;Oui, régulièrement;Analyse de l'impact environnemental des vêtements;Difficulté à combiner les vêtements;Conseils de style personnalisés par IA;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un miroir virtuel connecté;Oui, un achat unique;45-54 ans;Femme;Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières
102;Chaque semaine;5-10 minutes;Peu important;Non;5;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Création de capsules wardrobe saisonnières;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une estimation de mon style dominant;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Planification de capsules wardrobe saisonnières
103;Chaque saison;Moins de 5 minutes;Peu important;Oui;2;Oui, régulièrement;Suggestions de tenues personnalisées;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une alerte pour les vetements qui ne me vont plus;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés
104;Chaque mois;5-10 minutes;Peu important;Non;5;Oui, régulièrement;Numérisation intelligente des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un scan des tendances de mes amis;Oui, un achat unique;18-24 ans;Homme;Planification de capsules wardrobe saisonnières, Suggestions de tenues personnalisées
105;Chaque semaine;5-10 minutes;Très important;Non;2;Oui, occasionnellement;Conseils de style personnalisés, Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un classement eco par impact textile de chaque piece;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Non-binaire;Intégration avec des plateformes de revente, Numérisation intelligente des vêtements, Analyse de l’impact environnemental des vêtements
106;Chaque saison;Moins de 5 minutes;Assez important;Oui;3;Non, mais je serais intéressé(e);Conseils de style personnalisés;Manque de temps pour choisir une tenue;Création de capsules wardrobe saisonnières;Calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une analyse de repetition des memes silhouettes;Non, je ne paierais pas pour ce type d'application;18-24 ans;Non-binaire;Analyse de l’impact environnemental des vêtements
107;Chaque saison;Moins de 5 minutes;Pas important du tout;Non;2;Non, et je ne suis pas intéressé(e);Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Création de capsules wardrobe saisonnières;Suggestions de nouvelles combinaisons avec les vêtements existants;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Préfère ne pas répondre;Conseils de style personnalisés, Numérisation intelligente des vêtements, Planification de capsules wardrobe saisonnières
108;Chaque saison;Moins de 5 minutes;Peu important;Non;5;Non, et je ne suis pas intéressé(e);Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une aide a la creation de tenues photo moodboard;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Intégration avec des plateformes de revente
